trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.4, 'e': 0.17931568359471056}",30,17,24.49222813288092,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.4, 'e': 0.17752252675876345}",20,12,5.004612190927275,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.17574730149117582}",25,14,19.667215252733165,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.4, 'e': 0.17398982847626407}",20,3,22.0378343145847,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.4, 'e': 0.17224993019150142}",20,5,28.098455445910886,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.4, 'e': 0.1705274308895864}",20,0,16.16236537699572,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
177,False,"{'a': 0.4, 'e': 0.16882215658069055}",20,6,22.473273817100438,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.4, 'e': 0.16713393501488363}",20,3,-3.463210978392039,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.4, 'e': 0.16546259566473479}",20,3,15.700057897119919,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.4, 'e': 0.16380796970808745}",20,6,27.97073044069942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.4, 'e': 0.16216989001100657}",20,15,-32.41970115737797,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
182,False,"{'a': 0.4, 'e': 0.1605481911108965}",20,11,14.185166385841008,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.4, 'e': 0.15894270919978754}",20,3,-11.217198334805087,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
